hour,scenario,value
1,1,0.408340
1,2,0.478759
1,3,0.266604
1,4,0.478759
1,5,0.478759
1,6,0.478759
2,1,0.408340
2,2,0.478759
2,3,0.693941
2,4,0.482254
2,5,0.435857
2,6,0.478759
3,1,0.342530
3,2,0.478759
3,3,0.283991
3,4,0.482254
3,5,0.347591
3,6,0.307115
4,1,0.342530
4,2,0.424678
4,3,0.536075
4,4,0.482254
4,5,0.269175
4,6,0.295216
5,1,0.342530
5,2,0.417375
5,3,0.692655
5,4,0.482254
5,5,0.199188
5,6,0.211963
6,1,0.342530
6,2,0.409572
6,3,0.815857
6,4,0.482254
6,5,0.095752
6,6,0.095752
7,1,0.165741
7,2,0.409572
7,3,0.848331
7,4,0.482254
7,5,0.095752
7,6,0.095752
8,1,0.165741
8,2,0.409572
8,3,0.836839
8,4,0.500075
8,5,0.523089
8,6,0.095752
9,1,0.165741
9,2,0.409572
9,3,0.834503
9,4,0.566804
9,5,0.814872
9,6,0.095752
10,1,0.165741
10,2,0.409572
10,3,0.861765
10,4,0.852658
10,5,0.861765
10,6,0.095752
11,1,0.165741
11,2,0.409572
11,3,0.844147
11,4,0.861765
11,5,0.861765
11,6,0.095752
12,1,0.095752
12,2,0.155631
12,3,0.830732
12,4,0.861765
12,5,0.788985
12,6,0.095752
13,1,0.095752
13,2,0.139456
13,3,0.810237
13,4,0.861765
13,5,0.614880
13,6,0.095752
14,1,0.173875
14,2,0.124189
14,3,0.765636
14,4,0.861765
14,5,0.520970
14,6,0.095752
15,1,0.242215
15,2,0.095752
15,3,0.673136
15,4,0.861765
15,5,0.520970
15,6,0.095752
16,1,0.430946
16,2,0.095752
16,3,0.491604
16,4,0.785400
16,5,0.520970
16,6,0.095752
17,1,0.518035
17,2,0.095752
17,3,0.235800
17,4,0.525552
17,5,0.520970
17,6,0.095752
18,1,0.705395
18,2,0.095752
18,3,0.100995
18,4,0.283936
18,5,0.520970
18,6,0.095752
19,1,0.777074
19,2,0.182423
19,3,0.214968
19,4,0.095752
19,5,0.520970
19,6,0.272495
20,1,0.861765
20,2,0.366194
20,3,0.520548
20,4,0.095752
20,5,0.478759
20,6,0.583143
21,1,0.861765
21,2,0.500426
21,3,0.312429
21,4,0.095752
21,5,0.478759
21,6,0.766852
22,1,0.861765
22,2,0.521450
22,3,0.739766
22,4,0.095752
22,5,0.478759
22,6,0.766852
23,1,0.792666
23,2,0.502745
23,3,0.587690
23,4,0.217409
23,5,0.478759
23,6,0.621560
24,1,0.478759
24,2,0.478759
24,3,0.478759
24,4,0.478759
24,5,0.478759
24,6,0.478759
