hour,scenario,value
1,1,110.391508
1,2,184.739343
1,3,40.004643
1,4,91.006971
1,5,187.338305
1,6,196.221539
2,1,118.210441
2,2,177.556166
2,3,0.000000
2,4,104.633916
2,5,164.398287
2,6,160.765572
3,1,126.656311
3,2,166.997139
3,3,43.167187
3,4,84.476250
3,5,161.698605
3,6,136.075099
4,1,130.653735
4,2,162.323527
4,3,0.000000
4,4,84.476250
4,5,162.356582
4,6,167.680133
5,1,126.695612
5,2,166.720609
5,3,0.000000
5,4,84.476250
5,5,163.308830
5,6,125.533206
6,1,142.659179
6,2,148.672846
6,3,0.000000
6,4,84.476250
6,5,162.753799
6,6,163.180617
7,1,106.083458
7,2,178.426104
7,3,0.000000
7,4,84.476250
7,5,200.000000
7,6,200.000000
8,1,131.211822
8,2,185.839832
8,3,0.000000
8,4,114.406811
8,5,224.944446
8,6,208.596531
9,1,145.134775
9,2,180.876016
9,3,0.000000
9,4,117.216195
9,5,224.944446
9,6,224.944446
10,1,145.303435
10,2,173.837766
10,3,0.000000
10,4,114.064206
10,5,224.944446
10,6,199.033451
11,1,134.087085
11,2,168.150983
11,3,0.000000
11,4,100.736710
11,5,213.422255
11,6,224.944446
12,1,128.323056
12,2,154.580994
12,3,0.000000
12,4,87.383524
12,5,200.000000
12,6,224.944446
13,1,135.151239
13,2,148.566940
13,3,0.000000
13,4,74.949903
13,5,200.000000
13,6,185.055389
14,1,148.566940
14,2,149.237622
14,3,0.000000
14,4,84.476250
14,5,200.000000
14,6,224.944446
15,1,166.519192
15,2,154.292632
15,3,0.000000
15,4,66.951585
15,5,206.556225
15,6,186.033356
16,1,173.738366
16,2,168.986324
16,3,0.000000
16,4,50.996137
16,5,214.819534
16,6,224.944446
17,1,148.566940
17,2,181.740803
17,3,0.000000
17,4,38.534685
17,5,223.746851
17,6,224.944446
18,1,148.566940
18,2,194.297550
18,3,0.000000
18,4,38.976664
18,5,212.463573
18,6,224.944446
19,1,148.566940
19,2,200.000000
19,3,0.000000
19,4,41.978092
19,5,208.967043
19,6,224.944446
20,1,148.566940
20,2,200.000000
20,3,0.000000
20,4,58.552769
20,5,200.000000
20,6,224.944446
21,1,148.566940
21,2,200.000000
21,3,0.000000
21,4,61.808158
21,5,203.324655
21,6,224.944446
22,1,134.979733
22,2,199.796731
22,3,46.353352
22,4,67.287809
22,5,214.525130
22,6,224.944446
23,1,105.374137
23,2,194.154342
23,3,0.000000
23,4,84.476250
23,5,220.169181
23,6,224.944446
24,1,97.457892
24,2,187.594424
24,3,51.482482
24,4,84.476250
24,5,217.763770
24,6,190.690414
