hour,scenario,value
1,1,0.000000
1,2,0.000000
1,3,0.000000
1,4,0.000000
1,5,0.000000
1,6,0.000000
2,1,0.000000
2,2,0.000000
2,3,0.425563
2,4,0.002089
2,5,0.000000
2,6,0.000000
3,1,0.000000
3,2,0.000000
3,3,0.000000
3,4,0.000000
3,5,0.000000
3,6,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.259339
4,4,0.000000
4,5,0.000000
4,6,0.000000
5,1,0.000000
5,2,0.000000
5,3,0.161004
5,4,0.000000
5,5,0.000000
5,6,0.000000
6,1,0.000000
6,2,0.000000
6,3,0.126730
6,4,0.000000
6,5,0.000000
6,6,0.000000
7,1,0.000000
7,2,0.000000
7,3,0.034754
7,4,0.000000
7,5,0.000000
7,6,0.000000
8,1,0.000000
8,2,0.000000
8,3,0.000000
8,4,0.110221
8,5,0.425563
8,6,0.000000
9,1,0.000000
9,2,0.000000
9,3,0.003675
9,4,0.161841
9,5,0.288510
9,6,0.000000
10,1,0.000000
10,2,0.000000
10,3,0.035900
10,4,0.104803
10,5,0.038008
10,6,0.000000
11,1,0.000000
11,2,0.000000
11,3,0.000000
11,4,0.000000
11,5,0.000000
11,6,0.000000
12,1,0.000000
12,2,0.000000
12,3,0.000000
12,4,0.000000
12,5,0.000000
12,6,0.000000
13,1,0.000000
13,2,0.000000
13,3,0.000000
13,4,0.000000
13,5,0.000000
13,6,0.000000
14,1,0.090677
14,2,0.000000
14,3,0.000000
14,4,0.000000
14,5,0.000000
14,6,0.000000
15,1,0.138637
15,2,0.000000
15,3,0.000000
15,4,0.000000
15,5,0.000000
15,6,0.000000
16,1,0.261131
16,2,0.000000
16,3,0.000000
16,4,0.000000
16,5,0.000000
16,6,0.000000
17,1,0.005949
17,2,0.000000
17,3,0.000000
17,4,0.000000
17,5,0.000000
17,6,0.000000
18,1,0.008951
18,2,0.000000
18,3,0.000000
18,4,0.000000
18,5,0.000000
18,6,0.000000
19,1,0.172869
19,2,0.085158
19,3,0.116235
19,4,0.000000
19,5,0.000000
19,6,0.160688
20,1,0.073868
20,2,0.185269
20,3,0.313570
20,4,0.000000
20,5,0.000000
20,6,0.298579
21,1,0.000000
21,2,0.134378
21,3,0.000000
21,4,0.000000
21,5,0.000000
21,6,0.167910
22,1,0.000000
22,2,0.017931
22,3,0.425563
22,4,0.000000
22,5,0.000000
22,6,0.000000
23,1,0.000000
23,2,0.000000
23,3,0.000000
23,4,0.127650
23,5,0.000000
23,6,0.000000
24,1,0.000000
24,2,0.000000
24,3,0.000000
24,4,0.248391
24,5,0.000000
24,6,0.000000
