hour,scenario,value
1,1,0.106439
1,2,0.000000
1,3,0.198196
1,4,0.000000
1,5,0.029086
1,6,0.000000
2,1,0.017290
2,2,0.000000
2,3,0.000000
2,4,0.000000
2,5,0.041131
2,6,0.000000
3,1,0.000000
3,2,0.000000
3,3,0.425563
3,4,0.000000
3,5,0.053913
3,6,0.028726
4,1,0.000000
4,2,0.000000
4,3,0.000000
4,4,0.000000
4,5,0.054285
4,6,0.024361
5,1,0.000000
5,2,0.177336
5,3,0.000000
5,4,0.000000
5,5,0.060336
5,6,0.004472
6,1,0.000000
6,2,0.000562
6,3,0.000000
6,4,0.000000
6,5,0.115065
6,6,0.296258
7,1,0.230088
7,2,0.000000
7,3,0.000000
7,4,0.002740
7,5,0.000000
7,6,0.000000
8,1,0.000000
8,2,0.000000
8,3,0.007514
8,4,0.000000
8,5,0.000000
8,6,0.000000
9,1,0.000000
9,2,0.000000
9,3,0.000000
9,4,0.000000
9,5,0.000000
9,6,0.000000
10,1,0.000000
10,2,0.000000
10,3,0.000000
10,4,0.000000
10,5,0.000000
10,6,0.000000
11,1,0.000000
11,2,0.000000
11,3,0.007984
11,4,0.000000
11,5,0.000000
11,6,0.000000
12,1,0.000000
12,2,0.171273
12,3,0.003476
12,4,0.000000
12,5,0.056722
12,6,0.000000
13,1,0.000000
13,2,0.001416
13,3,0.010714
13,4,0.000000
13,5,0.159998
13,6,0.000000
14,1,0.000000
14,2,0.001039
14,3,0.035242
14,4,0.000000
14,5,0.081860
14,6,0.000000
15,1,0.000000
15,2,0.002190
15,3,0.083616
15,4,0.044845
15,5,0.009326
15,6,0.000000
16,1,0.000000
16,2,0.000000
16,3,0.172494
16,4,0.001608
16,5,0.000000
16,6,0.000000
17,1,0.000000
17,2,0.000000
17,3,0.247292
17,4,0.347892
17,5,0.000000
17,6,0.000000
18,1,0.000000
18,2,0.000000
18,3,0.131744
18,4,0.177638
18,5,0.000000
18,6,0.000000
19,1,0.000000
19,2,0.000000
19,3,0.000000
19,4,0.121080
19,5,0.000000
19,6,0.000000
20,1,0.000000
20,2,0.000000
20,3,0.000000
20,4,0.014570
20,5,0.035545
20,6,0.000000
21,1,0.000000
21,2,0.000000
21,3,0.205652
21,4,0.000000
21,5,0.010366
21,6,0.000000
22,1,0.000000
22,2,0.000000
22,3,0.000000
22,4,0.000000
22,5,0.000000
22,6,0.000000
23,1,0.119903
23,2,0.000000
23,3,0.151209
23,4,0.000000
23,5,0.000000
23,6,0.000000
24,1,0.233914
24,2,0.043934
24,3,0.109210
24,4,0.000000
24,5,0.000000
24,6,0.236295
