hour,scenario,value
1,1,0.800000
1,2,1.640000
1,3,0.840000
1,4,2.560000
1,5,2.600000
1,6,0.760000
2,1,0.640000
2,2,1.440000
2,3,0.680000
2,4,2.160000
2,5,2.360000
2,6,0.600000
3,1,0.520000
3,2,1.400000
3,3,0.600000
3,4,1.920000
3,5,2.080000
3,6,0.560000
4,1,0.520000
4,2,1.360000
4,3,0.520000
4,4,1.800000
4,5,2.000000
4,6,0.480000
5,1,0.480000
5,2,1.320000
5,3,0.520000
5,4,1.760000
5,5,1.920000
5,6,0.440000
6,1,0.480000
6,2,1.320000
6,3,0.520000
6,4,1.720000
6,5,1.880000
6,6,0.400000
7,1,0.520000
7,2,1.600000
7,3,0.880000
7,4,1.840000
7,5,1.960000
7,6,0.520000
8,1,0.680000
8,2,2.120000
8,3,1.400000
8,4,2.240000
8,5,2.320000
8,6,0.800000
9,1,1.000000
9,2,2.720000
9,3,1.920000
9,4,2.960000
9,5,3.120000
9,6,1.120000
10,1,1.200000
10,2,3.120000
10,3,2.360000
10,4,2.920000
10,5,3.520000
10,6,1.280000
11,1,1.360000
11,2,3.160000
11,3,2.680000
11,4,3.093333
11,5,3.920000
11,6,1.560000
12,1,1.360000
12,2,3.760000
12,3,2.700000
12,4,3.266667
12,5,4.320000
12,6,1.720000
13,1,1.440000
13,2,4.040000
13,3,2.720000
13,4,3.440000
13,5,4.240000
13,6,1.720000
14,1,1.480000
14,2,4.120000
14,3,2.740000
14,4,3.613333
14,5,4.160000
14,6,1.760000
15,1,1.560000
15,2,4.200000
15,3,2.760000
15,4,3.786667
15,5,4.080000
15,6,1.880000
16,1,1.520000
16,2,3.920000
16,3,2.880000
16,4,3.960000
16,5,4.200000
16,6,1.800000
17,1,1.480000
17,2,3.840000
17,3,3.000000
17,4,4.000000
17,5,4.200000
17,6,1.960000
18,1,1.520000
18,2,3.680000
18,3,2.840000
18,4,4.040000
18,5,4.280000
18,6,1.920000
19,1,1.560000
19,2,3.480000
19,3,2.680000
19,4,4.480000
19,5,4.240000
19,6,1.840000
20,1,1.680000
20,2,3.160000
20,3,2.560000
20,4,3.960000
20,5,4.160000
20,6,1.800000
21,1,1.560000
21,2,2.880000
21,3,2.280000
21,4,3.840000
21,5,3.960000
21,6,1.720000
22,1,1.400000
22,2,2.600000
22,3,2.160000
22,4,3.480000
22,5,3.600000
22,6,1.680000
23,1,1.160000
23,2,2.320000
23,3,1.920000
23,4,3.080000
23,5,3.200000
23,6,1.440000
24,1,1.080000
24,2,2.080000
24,3,1.440000
24,4,2.800000
24,5,2.920000
24,6,1.080000
