hour,scenario,value
1,1,2.079293
1,2,3.581990
1,3,0.818473
1,4,1.654054
1,5,3.268554
1,6,3.435546
2,1,2.162778
2,2,3.418922
2,3,0.041674
2,4,1.947880
2,5,3.180126
2,6,3.232890
3,1,2.391326
3,2,3.182830
3,3,0.749014
3,4,1.690164
3,5,3.159930
3,6,3.130472
4,1,2.406257
4,2,3.130472
4,3,0.000000
4,4,1.612015
4,5,3.163915
4,6,2.746196
5,1,2.327696
5,2,2.894952
5,3,0.000000
5,4,1.566274
5,5,3.175841
5,6,2.835307
6,1,2.251914
6,2,2.779676
6,3,0.000000
6,4,1.569463
6,5,3.194770
6,6,2.881009
7,1,2.080896
7,2,3.430644
7,3,0.000000
7,4,1.493874
7,5,3.904781
7,6,3.623170
8,1,2.393733
8,2,3.588705
8,3,0.000000
8,4,2.064611
8,5,4.462095
8,6,4.441635
9,1,2.659632
9,2,3.472860
9,3,0.000000
9,4,2.064611
9,5,4.462095
9,6,4.371586
10,1,2.656031
10,2,3.311693
10,3,0.000000
10,4,1.764937
10,5,4.462095
10,6,4.293403
11,1,2.432839
11,2,3.179821
11,3,0.000000
11,4,1.793968
11,5,4.188948
11,6,4.137025
12,1,2.391326
12,2,3.130472
12,3,0.000000
12,4,1.528976
12,5,3.954360
12,6,4.022830
13,1,2.468412
13,2,2.764534
13,3,0.000000
13,4,1.314262
13,5,3.927743
13,6,3.982846
14,1,2.763783
14,2,2.794658
14,3,0.000000
14,4,1.179502
14,5,3.929719
14,6,3.983228
15,1,3.130472
15,2,2.932517
15,3,0.000000
15,4,1.068802
15,5,4.057420
15,6,4.024764
16,1,3.130472
16,2,3.243495
16,3,0.000000
16,4,1.024211
16,5,4.257478
16,6,4.197804
17,1,2.981055
17,2,3.541646
17,3,0.000000
17,4,1.012203
17,5,4.349943
17,6,4.319684
18,1,2.746196
18,2,3.823912
18,3,0.000000
18,4,1.014386
18,5,4.237929
18,6,4.462095
19,1,2.858684
19,2,3.909828
19,3,-0.000000
19,4,1.019370
19,5,4.159369
19,6,4.462095
20,1,2.746196
20,2,3.909828
20,3,-0.000000
20,4,1.108622
20,5,3.944735
20,6,4.462095
21,1,2.637208
21,2,3.909828
21,3,0.669314
21,4,1.161749
21,5,4.029532
21,6,4.462095
22,1,2.250764
22,2,3.909828
22,3,0.047193
22,4,1.248930
22,5,4.274245
22,6,4.408829
23,1,1.984268
23,2,3.819809
23,3,0.669314
23,4,1.302791
23,5,4.394450
23,6,4.340953
24,1,2.064611
24,2,3.675197
24,3,0.669314
24,4,1.416207
24,5,4.336815
24,6,3.992504
