local_time,pv,wind,demand
2024-01-01 00:00:00,0.0,0.336,21.0
2024-01-01 01:00:00,0.0,0.3,20.7
2024-01-01 02:00:00,0.0,0.231,20.6
2024-01-01 03:00:00,0.0,0.186,20.5
2024-01-01 04:00:00,0.0,0.182,20.5
2024-01-01 05:00:00,0.006,0.193,20.7
2024-01-01 06:00:00,0.052,0.133,21.4
2024-01-01 07:00:00,0.137,0.074,22.7
2024-01-01 08:00:00,0.262,0.038,23.8
2024-01-01 09:00:00,0.311,0.025,25.0
2024-01-01 10:00:00,0.352,0.014,25.5
2024-01-01 11:00:00,0.342,0.009,25.8
2024-01-01 12:00:00,0.31,0.008,25.9
2024-01-01 13:00:00,0.252,0.011,26.1
2024-01-01 14:00:00,0.223,0.01,26.0
2024-01-01 15:00:00,0.161,0.01,25.8
2024-01-01 16:00:00,0.062,0.015,25.5
2024-01-01 17:00:00,0.001,0.03,24.9
2024-01-01 18:00:00,0.0,0.049,24.0
2024-01-01 19:00:00,0.0,0.064,23.5
2024-01-01 20:00:00,0.0,0.071,23.3
2024-01-01 21:00:00,0.0,0.069,22.9
2024-01-01 22:00:00,0.0,0.062,22.3
2024-01-01 23:00:00,0.0,0.055,21.6
2024-01-02 00:00:00,0.0,0.05,21.1
2024-01-02 01:00:00,0.0,0.047,20.6
2024-01-02 02:00:00,0.0,0.05,20.3
2024-01-02 03:00:00,0.0,0.058,20.5
2024-01-02 04:00:00,0.0,0.068,20.5
2024-01-02 05:00:00,0.01,0.068,20.6
2024-01-02 06:00:00,0.082,0.061,21.3
2024-01-02 07:00:00,0.215,0.062,22.5
2024-01-02 08:00:00,0.339,0.064,23.5
2024-01-02 09:00:00,0.43,0.068,23.3
2024-01-02 10:00:00,0.499,0.083,23.6
2024-01-02 11:00:00,0.517,0.113,24.4
2024-01-02 12:00:00,0.492,0.154,24.9
2024-01-02 13:00:00,0.429,0.186,25.1
2024-01-02 14:00:00,0.33,0.214,25.1
2024-01-02 15:00:00,0.197,0.251,24.1
2024-01-02 16:00:00,0.066,0.287,23.4
2024-01-02 17:00:00,0.004,0.309,22.8
2024-01-02 18:00:00,0.0,0.293,22.4
2024-01-02 19:00:00,0.0,0.255,21.9
2024-01-02 20:00:00,0.0,0.223,21.5
2024-01-02 21:00:00,0.0,0.196,20.9
2024-01-02 22:00:00,0.0,0.163,20.3
2024-01-02 23:00:00,0.0,0.135,19.6
2024-01-03 00:00:00,0.0,0.129,19.0
2024-01-03 01:00:00,0.0,0.127,18.7
2024-01-03 02:00:00,0.0,0.123,18.6
2024-01-03 03:00:00,0.0,0.118,18.4
2024-01-03 04:00:00,0.0,0.114,18.4
2024-01-03 05:00:00,0.009,0.114,18.5
2024-01-03 06:00:00,0.062,0.127,19.3
2024-01-03 07:00:00,0.213,0.155,20.3
2024-01-03 08:00:00,0.357,0.175,21.9
2024-01-03 09:00:00,0.464,0.192,22.9
2024-01-03 10:00:00,0.527,0.209,24.1
2024-01-03 11:00:00,0.544,0.234,23.6
2024-01-03 12:00:00,0.516,0.261,23.9
2024-01-03 13:00:00,0.447,0.287,24.0
2024-01-03 14:00:00,0.338,0.313,24.1
2024-01-03 15:00:00,0.196,0.336,23.9
2024-01-03 16:00:00,0.055,0.355,23.5
2024-01-03 17:00:00,0.004,0.361,23.2
2024-01-03 18:00:00,0.0,0.358,22.5
2024-01-03 19:00:00,0.0,0.341,22.2
2024-01-03 20:00:00,0.0,0.325,21.8
2024-01-03 21:00:00,0.0,0.325,22.4
2024-01-03 22:00:00,0.0,0.312,22.1
2024-01-03 23:00:00,0.0,0.301,20.8
2024-01-04 00:00:00,0.0,0.292,20.0
2024-01-04 01:00:00,0.0,0.268,19.4
2024-01-04 02:00:00,0.0,0.252,18.6
2024-01-04 03:00:00,0.0,0.251,18.6
2024-01-04 04:00:00,0.0,0.259,18.5
2024-01-04 05:00:00,0.01,0.263,18.6
2024-01-04 06:00:00,0.069,0.291,19.1
2024-01-04 07:00:00,0.213,0.307,20.1
2024-01-04 08:00:00,0.354,0.291,20.6
2024-01-04 09:00:00,0.459,0.27,21.2
2024-01-04 10:00:00,0.518,0.249,21.3
2024-01-04 11:00:00,0.536,0.24,21.0
2024-01-04 12:00:00,0.513,0.241,21.5
2024-01-04 13:00:00,0.448,0.254,22.8
2024-01-04 14:00:00,0.341,0.278,23.1
2024-01-04 15:00:00,0.199,0.31,23.5
2024-01-04 16:00:00,0.063,0.35,24.0
2024-01-04 17:00:00,0.004,0.379,23.9
2024-01-04 18:00:00,0.0,0.398,23.7
2024-01-04 19:00:00,0.0,0.376,23.2
2024-01-04 20:00:00,0.0,0.352,22.8
2024-01-04 21:00:00,0.0,0.337,22.4
2024-01-04 22:00:00,0.0,0.32,21.9
2024-01-04 23:00:00,0.0,0.325,21.4
2024-01-05 00:00:00,0.0,0.305,20.5
2024-01-05 01:00:00,0.0,0.293,19.7
2024-01-05 02:00:00,0.0,0.297,19.5
2024-01-05 03:00:00,0.0,0.3,18.9
2024-01-05 04:00:00,0.0,0.315,18.7
2024-01-05 05:00:00,0.009,0.329,19.0
2024-01-05 06:00:00,0.063,0.386,19.7
2024-01-05 07:00:00,0.214,0.391,20.9
2024-01-05 08:00:00,0.362,0.358,21.9
2024-01-05 09:00:00,0.47,0.314,22.9
2024-01-05 10:00:00,0.533,0.274,23.7
2024-01-05 11:00:00,0.552,0.248,25.4
2024-01-05 12:00:00,0.525,0.233,25.7
2024-01-05 13:00:00,0.455,0.24,25.5
2024-01-05 14:00:00,0.343,0.268,26.0
2024-01-05 15:00:00,0.198,0.309,25.7
2024-01-05 16:00:00,0.056,0.364,25.3
2024-01-05 17:00:00,0.004,0.457,25.1
2024-01-05 18:00:00,0.0,0.54,24.6
2024-01-05 19:00:00,0.0,0.557,24.0
2024-01-05 20:00:00,0.0,0.528,23.5
2024-01-05 21:00:00,0.0,0.532,22.9
2024-01-05 22:00:00,0.0,0.552,22.5
2024-01-05 23:00:00,0.0,0.523,21.9
2024-01-06 00:00:00,0.0,0.488,21.2
2024-01-06 01:00:00,0.0,0.432,20.8
2024-01-06 02:00:00,0.0,0.418,20.5
2024-01-06 03:00:00,0.0,0.394,20.4
2024-01-06 04:00:00,0.0,0.379,20.4
2024-01-06 05:00:00,0.01,0.348,20.0
2024-01-06 06:00:00,0.067,0.413,19.1
2024-01-06 07:00:00,0.215,0.44,19.7
2024-01-06 08:00:00,0.36,0.439,20.4
2024-01-06 09:00:00,0.467,0.441,20.9
2024-01-06 10:00:00,0.53,0.438,20.8
2024-01-06 11:00:00,0.546,0.434,20.7
2024-01-06 12:00:00,0.518,0.442,22.2
2024-01-06 13:00:00,0.451,0.459,23.1
2024-01-06 14:00:00,0.34,0.484,22.7
2024-01-06 15:00:00,0.199,0.524,22.7
2024-01-06 16:00:00,0.059,0.587,22.2
2024-01-06 17:00:00,0.004,0.658,21.3
2024-01-06 18:00:00,0.0,0.68,21.5
2024-01-06 19:00:00,0.0,0.682,21.5
2024-01-06 20:00:00,0.0,0.662,21.2
2024-01-06 21:00:00,0.0,0.601,21.7
2024-01-06 22:00:00,0.0,0.544,22.1
2024-01-06 23:00:00,0.0,0.501,21.2
2024-01-07 00:00:00,0.0,0.461,19.3
2024-01-07 01:00:00,0.0,0.422,18.7
2024-01-07 02:00:00,0.0,0.4,18.4
2024-01-07 03:00:00,0.0,0.386,18.3
2024-01-07 04:00:00,0.0,0.374,18.2
2024-01-07 05:00:00,0.009,0.347,18.2
2024-01-07 06:00:00,0.059,0.355,18.2
2024-01-07 07:00:00,0.214,0.32,18.9
2024-01-07 08:00:00,0.365,0.265,19.6
2024-01-07 09:00:00,0.471,0.225,20.0
