hour,scenario,value
1,1,0.000000
1,2,0.000000
1,3,0.000000
1,4,0.000000
1,5,0.000000
1,6,0.000000
2,1,0.000000
2,2,0.000000
2,3,0.000000
2,4,0.000000
2,5,0.000000
2,6,0.000000
3,1,0.000000
3,2,0.000000
3,3,0.000000
3,4,0.000000
3,5,0.000000
3,6,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.000000
4,4,0.000000
4,5,0.000000
4,6,0.000000
5,1,0.000000
5,2,0.000000
5,3,0.000000
5,4,0.000000
5,5,0.000000
5,6,0.000000
6,1,0.003036
6,2,0.009107
6,3,0.005060
6,4,0.003036
6,5,0.006072
6,6,0.007083
7,1,0.135597
7,2,0.106251
7,3,0.092085
7,4,0.120418
7,5,0.183157
7,6,0.129526
8,1,0.275242
8,2,0.263099
8,3,0.229706
8,4,0.294468
8,5,0.385541
8,6,0.302564
9,1,0.413875
9,2,0.408815
9,3,0.368338
9,4,0.456375
9,5,0.541377
9,6,0.453340
10,1,0.518102
10,2,0.514055
10,3,0.481673
10,4,0.574770
10,5,0.640545
10,6,0.561615
11,1,0.565663
11,2,0.573758
11,3,0.557567
11,4,0.646616
11,5,0.696200
11,6,0.624354
12,1,0.521138
12,2,0.589949
12,3,0.581853
12,4,0.680009
12,5,0.708343
12,6,0.642568
13,1,0.421970
13,2,0.560603
13,3,0.561615
13,4,0.673938
13,5,0.681021
13,6,0.615247
14,1,0.323814
14,2,0.485721
14,3,0.497864
14,4,0.622330
14,5,0.608163
14,6,0.542389
15,1,0.186193
15,2,0.366315
15,3,0.390601
15,4,0.515067
15,5,0.489769
15,6,0.425006
16,1,0.105240
16,2,0.208455
16,3,0.249944
16,4,0.332921
16,5,0.340005
16,6,0.260063
17,1,0.033393
17,2,0.050596
17,3,0.097144
17,4,0.126490
17,5,0.133573
17,6,0.091073
18,1,0.000000
18,2,0.003036
18,3,0.002024
18,4,0.000000
18,5,0.000000
18,6,0.002024
19,1,0.000000
19,2,0.000000
19,3,0.000000
19,4,0.000000
19,5,0.000000
19,6,0.000000
20,1,0.000000
20,2,0.000000
20,3,0.000000
20,4,0.000000
20,5,0.000000
20,6,0.000000
21,1,0.000000
21,2,0.000000
21,3,0.000000
21,4,0.000000
21,5,0.000000
21,6,0.000000
22,1,0.000000
22,2,0.000000
22,3,0.000000
22,4,0.000000
22,5,0.000000
22,6,0.000000
23,1,0.000000
23,2,0.000000
23,3,0.000000
23,4,0.000000
23,5,0.000000
23,6,0.000000
24,1,0.000000
24,2,0.000000
24,3,0.000000
24,4,0.000000
24,5,0.000000
24,6,0.000000
