hour,scenario,value
1,1,2.277653
1,2,4.128657
1,3,0.892683
1,4,2.507388
1,5,4.135221
1,6,3.688879
2,1,2.376111
2,2,3.898922
2,3,0.708895
2,4,2.671484
2,5,3.925178
2,6,3.432890
3,1,2.500824
3,2,3.649496
3,3,0.551363
3,4,2.330164
3,5,3.767646
3,6,3.150644
4,1,2.579590
4,2,3.531347
4,3,0.433214
4,4,2.212015
4,5,3.754518
4,6,2.894655
5,1,2.487696
5,2,3.327868
5,3,0.334756
5,4,2.152940
5,5,3.747954
5,6,2.901218
6,1,2.408930
6,2,3.203155
6,3,0.295373
6,4,2.139813
6,5,3.715135
6,6,2.894655
7,1,1.949461
7,2,3.859539
7,3,0.236298
7,4,1.988844
7,5,4.378083
7,6,3.669188
8,1,2.349856
8,2,4.036763
8,3,0.229734
8,4,2.540207
8,5,5.297021
8,6,4.410902
9,1,2.586154
9,2,3.977689
9,3,0.275681
9,4,2.671484
9,5,5.270766
9,6,4.299317
10,1,2.546771
10,2,3.846412
10,3,0.341320
10,4,2.468005
10,5,5.054159
10,6,4.168040
11,1,2.330164
11,2,3.669188
11,3,0.328192
11,4,2.198887
11,5,4.811297
11,6,4.043327
12,1,2.264526
12,2,3.557603
12,3,0.315064
12,4,1.949461
12,5,4.627509
12,6,3.964561
13,1,2.533643
13,2,3.544475
13,3,0.334756
13,4,1.798493
13,5,4.502796
13,6,3.951433
14,1,3.019368
14,2,3.675752
14,3,0.380703
14,4,1.772237
14,5,4.627509
14,6,4.036763
15,1,3.537911
15,2,3.944869
15,3,0.446341
15,4,1.824748
15,5,4.936010
15,6,4.233678
16,1,3.728263
16,2,4.345264
16,3,0.538235
16,4,1.942897
16,5,5.323276
16,6,4.542179
17,1,3.531347
17,2,4.771913
17,3,0.656384
17,4,1.969153
17,5,5.618649
17,6,4.883499
18,1,3.446017
18,2,5.047595
18,3,0.813916
18,4,2.126685
18,5,5.664596
18,6,5.100106
19,1,3.452581
19,2,5.159180
19,3,1.010832
19,4,2.330164
19,5,5.572702
19,6,5.257638
20,1,3.393507
20,2,5.152616
20,3,1.168364
20,4,2.428622
20,5,5.290457
20,6,5.382351
21,1,3.157208
21,2,5.008212
21,3,1.227439
21,4,2.441749
21,5,5.349532
21,6,5.224819
22,1,2.717431
22,2,4.798169
22,3,1.207747
22,4,2.408930
22,5,5.474245
22,6,4.968829
23,1,2.303909
23,2,4.574998
23,3,1.161800
23,4,2.454877
23,5,5.461117
23,6,4.680020
24,1,2.120121
24,2,4.345264
24,3,1.043651
24,4,2.618973
24,5,5.310149
24,6,4.213987
