hour,scenario,value
1,1,40.739086
1,2,64.897872
1,3,15.574816
1,4,32.400987
1,5,70.000000
1,6,69.697335
2,1,41.579830
2,2,62.358373
2,3,0.000000
2,4,37.786999
2,5,70.000000
2,6,69.703995
3,1,44.428526
3,2,58.599079
3,3,14.825797
3,4,33.081630
3,5,70.000000
3,6,69.726406
4,1,45.783116
4,2,56.926812
4,3,0.000000
4,4,31.620316
4,5,70.000000
4,6,69.776547
5,1,44.432350
5,2,56.726218
5,3,0.000000
5,4,30.764762
5,5,70.000000
5,6,69.791013
6,1,43.130033
6,2,52.265515
6,3,0.000000
6,4,30.825796
6,5,70.000000
6,6,69.860472
7,1,41.565029
7,2,62.570299
7,3,0.000000
7,4,29.502092
7,5,70.000000
7,6,65.583747
8,1,45.653305
8,2,65.074472
8,3,0.000000
8,4,38.298324
8,5,70.000000
8,6,70.000000
9,1,50.180594
9,2,63.307151
9,3,0.000000
9,4,38.308200
9,5,70.000000
9,6,70.000000
10,1,50.150848
10,2,60.794148
10,3,0.000000
10,4,38.112063
10,5,70.000000
10,6,70.000000
11,1,46.412448
11,2,58.707055
11,3,0.000000
11,4,35.355717
11,5,70.000000
11,6,70.000000
12,1,44.516951
12,2,53.922675
12,3,0.000000
12,4,30.288205
12,5,70.000000
12,6,70.000000
13,1,46.975522
13,2,51.723159
13,3,0.000000
13,4,26.164422
13,5,70.000000
13,6,70.000000
14,1,51.723159
14,2,52.183891
14,3,0.000000
14,4,23.471281
14,5,70.000000
14,6,70.000000
15,1,56.726218
15,2,56.726218
15,3,0.000000
15,4,22.117224
15,5,70.000000
15,6,70.000000
16,1,56.726218
16,2,59.611259
16,3,0.000000
16,4,18.696983
16,5,70.000000
16,6,70.000000
17,1,56.726218
17,2,64.269398
17,3,0.000000
17,4,18.696983
17,5,70.000000
17,6,70.000000
18,1,54.517205
18,2,68.628882
18,3,0.000000
18,4,21.860078
18,5,70.000000
18,6,70.000000
19,1,51.723159
19,2,70.000000
19,3,0.000000
19,4,18.696983
19,5,70.000000
19,6,70.000000
20,1,51.723159
20,2,70.000000
20,3,0.000000
20,4,22.117224
20,5,70.000000
20,6,70.000000
21,1,49.673851
21,2,70.000000
21,3,12.487135
21,4,22.887488
21,5,70.000000
21,6,70.000000
22,1,43.102699
22,2,70.000000
22,3,0.000000
22,4,24.630673
22,5,70.000000
22,6,70.000000
23,1,39.462701
23,2,68.297866
23,3,12.487135
23,4,25.661393
23,5,70.000000
23,6,70.000000
24,1,38.497496
24,2,66.670174
24,3,12.487135
24,4,28.299604
24,5,70.000000
24,6,70.000000
